Ethnic group ,Sex,Age group (years),Estimated number of bacteraemia infections,Estimated number of resistant bacteraemia infections,Percentage of episodes reported resistant
White,Female,1 to 4,163.6,13.5,8.3
White,Female,10 to 14,92.4,13.9,15
White,Female,15 to 44,2969.5,470.7,15.9
White,Female,45 to 64,6338.4,1180.8,18.6
White,Female,5 to 9,118.7,14.6,12.3
White,Female,65 to 74,5908,1194.2,20.2
White,Female,75 and over,17753.3,3910.4,22
White,Female,less than 1,319.5,26.3,8.2
White,Male,1 to 4,247,24.7,10
White,Male,10 to 14,175.4,14.1,8
White,Male,15 to 44,2278.4,382,16.8
White,Male,45 to 64,8317.9,1681.4,20.2
White,Male,5 to 9,199,16.9,8.5
White,Male,65 to 74,8785,1770.7,20.2
White,Male,75 and over,23495.3,5135,21.9
White,Male,less than 1,440.5,50.6,11.5
White,Unknown,15 to 44,0,0,0
White,Unknown,45 to 64,0,0,0
White,Unknown,5 to 9,0,0,0
White,Unknown,65 to 74,2.2,0,0
White,Unknown,75 and over,2.2,0,0
White,Unknown,Unknown  ,0,0,0
White,Unknown,less than 1,0,0,0
Asian or Asian British,Female,1 to 4,47.2,5.9,12.6
Asian or Asian British,Female,10 to 14,36.3,10.6,29.1
Asian or Asian British,Female,15 to 44,620.6,223.7,36
Asian or Asian British,Female,45 to 64,635.3,302.7,47.6
Asian or Asian British,Female,5 to 9,41.8,7.1,17.1
Asian or Asian British,Female,65 to 74,544.6,249,45.7
Asian or Asian British,Female,75 and over,820.6,399.5,48.7
Asian or Asian British,Female,less than 1,72.6,23.7,32.7
Asian or Asian British,Male,1 to 4,68.2,12.7,18.7
Asian or Asian British,Male,10 to 14,47.4,5.3,11.2
Asian or Asian British,Male,15 to 44,406.4,127.6,31.4
Asian or Asian British,Male,45 to 64,785.4,300.5,38.3
Asian or Asian British,Male,5 to 9,47.4,10.4,22
Asian or Asian British,Male,65 to 74,740.1,326.4,44.1
Asian or Asian British,Male,75 and over,950.2,439.2,46.2
Asian or Asian British,Male,less than 1,119.7,36.9,30.8
Asian or Asian British,Unknown,15 to 44,0,0,0
Asian or Asian British,Unknown,45 to 64,0,0,0
Asian or Asian British,Unknown,5 to 9,0,0,0
Asian or Asian British,Unknown,65 to 74,0,0,0
Asian or Asian British,Unknown,75 and over,0,0,0
Asian or Asian British,Unknown,Unknown  ,0,0,0
Asian or Asian British,Unknown,less than 1,0,0,0
"Black, African, Caribbean or Black British",Female,1 to 4,31.9,13.4,42
"Black, African, Caribbean or Black British",Female,10 to 14,23.1,2.2,9.5
"Black, African, Caribbean or Black British",Female,15 to 44,426.5,127.7,29.9
"Black, African, Caribbean or Black British",Female,45 to 64,512,138,26.9
"Black, African, Caribbean or Black British",Female,5 to 9,22,3.2,14.6
"Black, African, Caribbean or Black British",Female,65 to 74,207.1,45.7,22.1
