Index of Multiple Deprivation (IMD) quintile ,Sex,Age group (years),Estimated number of bacteraemia infections [note 12],Estimated number of resistant bacteraemia infections [note 12],Percentage of episodes reported resistant [note 2]
1 (most deprived),Female,1 to 4,81.3,15.7,19.3
1 (most deprived),Female,10 to 14,60.5,18.5,30.6
1 (most deprived),Female,15 to 44,1470.6,346,23.5
1 (most deprived),Female,45 to 64,2257.4,475.2,21.1
1 (most deprived),Female,5 to 9,68.1,13.2,19.4
1 (most deprived),Female,65 to 74,1779.1,462.9,26
1 (most deprived),Female,75 and over,3530.3,923.3,26.2
1 (most deprived),Female,less than 1,243.9,45.6,18.7
1 (most deprived),Male,1 to 4,134.1,21,15.7
1 (most deprived),Male,10 to 14,89.3,11.3,12.7
1 (most deprived),Male,15 to 44,1043,171.9,16.5
1 (most deprived),Male,45 to 64,2923.7,637.1,21.8
1 (most deprived),Male,5 to 9,81.4,13.3,16.3
1 (most deprived),Male,65 to 74,2424.5,588.9,24.3
1 (most deprived),Male,75 and over,4306.6,1081.1,25.1
1 (most deprived),Male,less than 1,320.6,66,20.6
1 (most deprived),Unknown,15 to 44,4.4,0,0
1 (most deprived),Unknown,45 to 64,1.1,0,0
1 (most deprived),Unknown,5 to 9,0,0,0
1 (most deprived),Unknown,65 to 74,0,0,0
1 (most deprived),Unknown,75 and over,1.1,0,0
1 (most deprived),Unknown,Unknown  ,0,0,0
1 (most deprived),Unknown,less than 1,2.2,0,0
2,Female,1 to 4,67,11.9,17.8
2,Female,10 to 14,39.6,4.6,11.7
2,Female,15 to 44,1051.4,223.3,21.2
2,Female,45 to 64,1886.5,387.3,20.5
2,Female,5 to 9,55,7.5,13.6
2,Female,65 to 74,1511.3,346,22.9
2,Female,75 and over,3825,914.3,23.9
2,Female,less than 1,181,31.7,17.5
2,Male,1 to 4,93.5,14.8,15.9
2,Male,10 to 14,49.7,8.1,16.4
2,Male,15 to 44,785.2,161,20.5
2,Male,45 to 64,2426,536.4,22.1
2,Male,5 to 9,78.1,9.1,11.7
2,Male,65 to 74,2253.7,510.2,22.6
2,Male,75 and over,4911.8,1224.1,24.9
2,Male,less than 1,227.2,47.8,21
2,Unknown,15 to 44,1.1,0,0
2,Unknown,45 to 64,1.1,0,0
2,Unknown,5 to 9,0,0,0
2,Unknown,65 to 74,1.1,0,0
2,Unknown,75 and over,0,0,0
2,Unknown,Unknown  ,0,0,0
2,Unknown,less than 1,1.1,0,0
3,Female,1 to 4,51.5,3.6,7.1
3,Female,10 to 14,24.2,4.4,18.1
3,Female,15 to 44,813.1,153.7,18.9
3,Female,45 to 64,1536.5,381.1,24.8
3,Female,5 to 9,22,0,0
3,Female,65 to 74,1485,330.2,22.2
3,Female,75 and over,4178.9,941.9,22.5
3,Female,less than 1,98.8,17.9,18.1
3,Male,1 to 4,77.9,12.7,16.3
3,Male,10 to 14,42,3.2,7.5
3,Male,15 to 44,570.4,124.3,21.8
3,Male,45 to 64,1909.6,432.9,22.7
3,Male,5 to 9,63.8,9.5,14.8
3,Male,65 to 74,2039.9,466.2,22.9
3,Male,75 and over,5397.8,1205.8,22.3
3,Male,less than 1,174.7,26.5,15.1
3,Unknown,15 to 44,0,0,0
3,Unknown,45 to 64,0,0,0
3,Unknown,5 to 9,0,0,0
3,Unknown,65 to 74,1.1,0,0
3,Unknown,75 and over,2.2,1.1,50
3,Unknown,Unknown  ,1.1,0,0
3,Unknown,less than 1,2.2,0,0
4,Female,1 to 4,51.7,6.1,11.9
4,Female,10 to 14,25.3,3.3,13
4,Female,15 to 44,665,141.1,21.2
4,Female,45 to 64,1221.7,309,25.3
4,Female,5 to 9,34.1,2.1,6
4,Female,65 to 74,1212.5,235.5,19.4
4,Female,75 and over,3946.8,921,23.3
4,Female,less than 1,254.4,32.1,12.6
4,Male,1 to 4,60.4,3,5
4,Male,10 to 14,41.9,2.5,6
4,Male,15 to 44,448.5,87.2,19.4
4,Male,45 to 64,1697.7,384.1,22.6
4,Male,5 to 9,42.9,6.6,15.3
4,Male,65 to 74,1970,421.6,21.4
4,Male,75 and over,5628.1,1211.9,21.5
4,Male,less than 1,176.7,39.1,22.1
4,Unknown,15 to 44,2.2,1.1,49.6
4,Unknown,45 to 64,0,0,0
4,Unknown,5 to 9,2.2,2.2,100
4,Unknown,65 to 74,3.3,0,0
4,Unknown,75 and over,2.2,0,0
4,Unknown,Unknown  ,0,0,0
4,Unknown,less than 1,6.6,2.2,33.3
5 (least deprived),Female,1 to 4,40.5,4.7,11.5
5 (least deprived),Female,10 to 14,20.9,3.9,18.5
5 (least deprived),Female,15 to 44,494.6,94,19
5 (least deprived),Female,45 to 64,1051.7,193.1,18.4
5 (least deprived),Female,5 to 9,31.9,2.9,9.2
5 (least deprived),Female,65 to 74,1019.2,211.9,20.8
5 (least deprived),Female,75 and over,3946.4,825.8,20.9
5 (least deprived),Female,less than 1,103.2,14.4,14
5 (least deprived),Male,1 to 4,48.2,4.4,9.1
5 (least deprived),Male,10 to 14,39.8,2.3,5.8
5 (least deprived),Male,15 to 44,392.5,65.4,16.7
5 (least deprived),Male,45 to 64,1349.2,289.6,21.5
5 (least deprived),Male,5 to 9,35.2,3.1,8.9
5 (least deprived),Male,65 to 74,1725.4,322.7,18.7
5 (least deprived),Male,75 and over,5392.6,1159.6,21.5
5 (least deprived),Male,less than 1,136.1,24.4,17.9
5 (least deprived),Unknown,15 to 44,0,0,0
5 (least deprived),Unknown,45 to 64,0,0,0
5 (least deprived),Unknown,5 to 9,0,0,0
5 (least deprived),Unknown,65 to 74,1.1,1.1,100
5 (least deprived),Unknown,75 and over,0,0,0
5 (least deprived),Unknown,Unknown  ,0,0,0
5 (least deprived),Unknown,less than 1,4.4,0,0
Unknown,Female,1 to 4,0,0,0
Unknown,Female,10 to 14,0,0,0
Unknown,Female,15 to 44,0,0,0
Unknown,Female,45 to 64,3.3,1.1,33.3
Unknown,Female,5 to 9,0,0,0
Unknown,Female,65 to 74,1.1,0,0
Unknown,Female,75 and over,2.2,0,0
Unknown,Female,less than 1,0,0,0
Unknown,Male,1 to 4,0,0,0
Unknown,Male,10 to 14,0,0,0
Unknown,Male,15 to 44,0,0,0
Unknown,Male,45 to 64,2.2,2.2,100
Unknown,Male,5 to 9,0,0,0
Unknown,Male,65 to 74,1.1,0,0
Unknown,Male,75 and over,1.1,0,0
Unknown,Male,less than 1,0,0,0
Unknown,Unknown,15 to 44,0,0,0
Unknown,Unknown,45 to 64,0,0,0
Unknown,Unknown,5 to 9,0,0,0
Unknown,Unknown,65 to 74,0,0,0
Unknown,Unknown,75 and over,0,0,0
Unknown,Unknown,Unknown  ,0,0,0
Unknown,Unknown,less than 1,0,0,0
