"Figure 10 Data Reference Table; Estimated number and rate per 100,000 population of resistant infections and bloodstream infections by region, England 2018 (Report Figure 2.6)",,,,,,,
,,,,,,,
,,,,,,,
Region,Estimated no.,,"Rate per 100,000 population",,,,
,Resistant infections,infections,Resistant infections,Infections,,,
London,3814,13595,42.8,152.6,,,
West Midlands,1583,9447,26.8,160.1,,,
North East,757,5942,28.5,223.5,,,
Yorkshire and Humber,1694,9530,30.9,173.9,,,
East Midlands,1108,7583,23.1,157.8,,,
East of England,1930,9304,29.1,140.5,,,
North West,2260,13025,31.0,178.6,,,
South East,2491,13121,28.1,148.0,,,
South West,1618,9724,29.7,178.6,,,
,,,,,,,
,,,,,,,
