Local area region,Estimated number of resistant bloodstream infections,Rate per 100000 population resistant bloodstream infections,Estimated number of bloodstream infections,Rate per 100000 population bloodstream infections
London,4,998,55.5,11,803,131.1
West Midlands,2,217,37.2,8,555,143.5
North East,909,33.9,4,731,176.5
Yorkshire and Humber,2,044,37.0,8,696,157.4
East Midlands,1,562,32.1,6,986,143.6
East of England,2,629,39.3,8,752,130.7
North West,3,276,44.5,11,248,152.7
South East,3,673,41.1,12,816,143.2
South West,1,826,33.2,8,226,149.5
,,,,
47,,,,
