,Region,AMR Burden rate per 100000 population 2020,AMR Burden rate per 100000 population 2021,AMR Burden rate per 100000 population 2022,AMR Burden rate per 100000 population 2023,AMR Burden rate per 100000 population 2024,Avg by Region
0,London,37.8,55.5,39.2,41.5,44.29999924,43.659999848
1,West Midlands,26.1,37.2,25.3,30.5,32.79999924,30.379999848
2,North East,25.3,33.9,27.7,30.0,35.59999847,30.499999694000003
3,Yorkshire and Humber,25.5,37.0,30.2,34.7,37.0,32.88
4,East Midlands,20.5,32.1,24.7,26.6,31.60000038,27.100000076000004
5,East of England,25.8,39.3,28.7,34.3,34.90000153,32.600000306
6,North West,29.4,44.5,32.9,35.8,38.59999847,36.239999694000005
7,South East,28.0,41.1,27.5,30.6,33.09999847,32.059999694
8,South West,22.8,33.2,22.8,25.9,28.20000076,26.580000151999997
Total by Year,,241.2,353.8,259.0,289.9,316.09999656,291.999999312
